sid,total,sQ1,sQ2,sQ3,sQ4,sQ5,Q1-AVR,Q1-J1,Q1-J2,
202C1015,,90,90,90,90,90,,90,90,100,0,,90,90,90,0,,90,90,90,0,,90,90,90,0,,0,0,0,0,,
202C1036,,90,90,90,90,90,,90,100,100,0,,90,100,100,0,,90,100,90,0,,90,100,100,0,,0,0,0,0,,
202C1050,,90,90,90,90,90,,100,90,100,0,,90,90,100,0,,90,90,90,0,,90,90,100,0,,0,0,0,0,,
202C1153,,90,90,90,90,90,,90,90,100,0,,90,90,90,0,,90,90,90,0,,90,90,100,0,,0,0,0,0,,
202C1039,,90,90,80,80,100,,90,90,90,0,,90,90,90,0,,90,90,80,0,,90,90,80,0,,0,0,0,0,,
202C1140,,60,60,70,60,70,,90,90,90,0,,90,90,90,0,,90,80,90,0,,90,90,90,0,,0,0,0,0,,
202C1167,,90,90,100,100,100,,90,90,90,0,,90,90,90,0,,80,90,80,0,,90,90,80,0,,0,0,0,0,,
202C1164,,90,90,100,90,100,,90,90,100,0,,90,90,100,0,,80,80,100,0,,90,90,100,0,,0,0,0,0,,
202C1016,,90,90,90,90,90,,100,90,90,90,,100,90,90,90,,100,90,90,80,,100,90,90,90,,0,0,0,0,,
202C1163,,90,90,80,80,90,,90,90,100,80,,90,90,90,80,,80,80,100,80,,90,80,90,80,,0,0,0,0,,
202C1085,,100,100,90,100,100,,100,100,90,80,,100,100,100,80,,90,100,100,80,,100,100,90,80,,0,0,0,0,,
202C1138,,100,100,90,90,100,,100,90,90,100,,100,90,90,90,,90,80,90,80,,100,80,90,90,,0,0,0,0,,
22221202,,90,90,100,100,90,,100,90,80,90,,100,90,90,80,,100,100,90,80,,100,100,90,90,,0,0,0,0,,
202C1014,,80,80,80,80,80,,90,90,90,80,,90,90,90,80,,90,90,80,90,,90,90,80,90,,0,0,0,0,,
202C1038,,100,90,80,90,90,,90,90,90,90,,90,90,90,90,,90,80,80,90,,90,90,80,90,,0,0,0,0,,
202C1045,,80,80,90,80,80,,90,90,100,80,,90,90,100,90,,90,80,100,90,,90,90,100,90,,0,0,0,0,,
202C1071,,80,80,80,80,80,,90,90,100,90,,90,90,100,90,,90,90,100,90,,90,90,100,90,,0,0,0,0,,
202C1112,,90,80,90,80,80,,90,90,90,90,,90,90,90,90,,90,80,90,100,,90,90,90,90,,0,0,0,0,,
202C1054,,90,90,90,80,100,,90,100,0,80,,90,100,0,80,,90,90,0,80,,90,100,0,80,,0,0,0,0,,
202C1132,,100,100,100,100,100,,100,100,0,90,,90,100,0,90,,100,100,0,90,,90,100,0,80,,0,0,0,0,,
202C1172,,80,80,80,80,70,,90,100,80,80,,90,90,90,80,,90,90,80,80,,90,100,90,90,,0,0,0,0,,
202C1055,,90,90,90,100,100,,100,100,90,90,,90,100,90,90,,100,100,90,90,,90,100,90,90,,0,0,0,0,,
202C1128,,90,90,80,90,90,,90,100,90,100,,90,100,90,90,,80,90,100,90,,90,100,90,80,,0,0,0,0,,
